date,state
2021-03-12,DF
2021-03-13,DF
2021-03-14,DF
2021-03-15,DF
2021-03-16,DF
2021-03-17,DF
2021-03-18,DF
2021-03-19,DF
2021-03-20,DF
2021-03-21,DF
2021-03-22,DF
2021-03-23,DF
2021-03-24,DF
2021-03-25,DF
2021-03-26,DF
2021-03-27,DF
2021-03-28,DF
2021-03-29,DF
2021-03-30,DF
2021-03-31,DF
2021-04-01,DF
2021-04-02,DF
2021-04-03,DF
2021-04-04,DF
2021-04-05,DF
2021-04-06,DF
2021-04-07,DF
2021-04-08,DF
2021-04-09,DF
2021-04-10,DF
2021-04-11,DF
2021-04-12,DF
2021-04-13,DF
2021-04-14,DF
2021-04-15,DF
2021-04-16,DF
2021-04-17,DF
2021-04-18,DF
2021-04-19,DF
2021-04-20,DF
2021-04-21,DF
2021-04-22,DF
2021-04-23,DF
2021-04-24,DF
2021-04-25,DF
2021-04-26,DF
2021-04-27,DF
2021-04-28,DF
2021-04-29,DF
2021-04-30,DF
2021-05-01,DF
2021-05-02,DF
2021-05-03,DF
2021-05-04,DF
2021-05-05,DF
2021-05-06,DF
2021-05-07,DF
2021-05-08,DF
2021-05-09,DF
2021-05-10,DF
2021-05-11,DF
2021-05-12,DF
2021-05-13,DF
2021-05-14,DF
2021-05-15,DF
2021-05-16,DF
2021-05-17,DF
2021-05-18,DF
2021-05-19,DF
2021-05-20,DF
2021-05-21,DF
2021-05-22,DF
2021-05-23,DF
